job_id,execution_time,source_system,dataset_name,pipeline_stage,file_format,target_storage_path,record_count,file_size_mb,duration_seconds,data_quality_score,job_status
JOB-0022,2026-08-05 19:00:00,Dotblue_Logs,faculty_profiles,Silver_Cleaning,avro,s3://data-lake-cleaned/faculty_profiles/,142533,180.57,75.05,96.0,SUCCESS
JOB-0023,2026-08-04 14:00:00,Dotblue_Logs,library_checkouts,Silver_Cleaning,parquet,s3://data-lake-cleaned/library_checkouts/,173434,168.97,206.75,86.5,SUCCESS
JOB-0024,2026-08-04 12:00:00,LMS_Moodle,library_checkouts,Silver_Cleaning,parquet,s3://data-lake-cleaned/library_checkouts/,55261,63.29,218.27,91.6,SUCCESS
JOB-0025,2026-08-05 04:00:00,HR_System,research_publications,Silver_Cleaning,avro,s3://data-lake-cleaned/research_publications/,62321,87.58,148.14,89.7,SUCCESS
JOB-0026,2026-08-06 06:00:00,Dotblue_Logs,faculty_profiles,Silver_Cleaning,json,s3://data-lake-cleaned/faculty_profiles/,152790,186.93,150.8,92.7,SUCCESS
JOB-0027,2026-08-06 08:00:00,HR_System,financial_transactions,Silver_Cleaning,avro,s3://data-lake-cleaned/financial_transactions/,214429,166.48,313.28,85.5,SUCCESS
JOB-0028,2026-08-05 09:00:00,Student_Portal,financial_transactions,Bronze_Ingestion,parquet,s3://data-lake-raw/financial_transactions/,164841,211.23,150.65,71.7,SUCCESS
JOB-0029,2026-08-06 09:00:00,ERP_Database,course_feedback,Bronze_Ingestion,parquet,s3://data-lake-raw/course_feedback/,103911,187.15,306.16,73.1,SUCCESS
JOB-0030,2026-08-05 17:00:00,Student_Portal,library_checkouts,Silver_Cleaning,avro,s3://data-lake-cleaned/library_checkouts/,136015,83.52,311.2,95.6,SUCCESS
JOB-0031,2026-08-05 01:00:00,Dotblue_Logs,system_access_audit,Bronze_Ingestion,avro,s3://data-lake-raw/system_access_audit/,21999,33.77,289.76,85.1,SUCCESS
JOB-0032,2026-08-06 14:00:00,LMS_Moodle,course_feedback,Silver_Cleaning,parquet,s3://data-lake-cleaned/course_feedback/,81876,72.32,78.29,96.4,WARNING
JOB-0033,2026-08-07 02:00:00,Dotblue_Logs,financial_transactions,Bronze_Ingestion,avro,s3://data-lake-raw/financial_transactions/,9594,9.64,163.8,70.6,SUCCESS
JOB-0034,2026-08-05 11:00:00,Research_Repository,faculty_profiles,Bronze_Ingestion,csv,s3://data-lake-raw/faculty_profiles/,241471,323.81,229.54,89.6,SUCCESS
JOB-0035,2026-08-07 05:00:00,HR_System,faculty_profiles,Gold_Aggregation,json,s3://data-lake-curated/faculty_profiles/,11194,7.93,306.78,95.7,SUCCESS
JOB-0036,2026-08-06 23:00:00,ERP_Database,research_publications,Silver_Cleaning,avro,s3://data-lake-cleaned/research_publications/,110870,151.53,273.74,87.6,SUCCESS
JOB-0037,2026-08-05 18:00:00,LMS_Moodle,faculty_profiles,Bronze_Ingestion,parquet,s3://data-lake-raw/faculty_profiles/,221867,115.4,27.66,73.4,SUCCESS
JOB-0038,2026-08-06 03:00:00,Dotblue_Logs,course_feedback,Gold_Aggregation,avro,s3://data-lake-curated/course_feedback/,45845,70.67,244.35,100.0,SUCCESS
JOB-0039,2026-08-06 00:00:00,ERP_Database,student_enrollments,Silver_Cleaning,avro,s3://data-lake-cleaned/student_enrollments/,95360,93.77,124.69,95.4,SUCCESS
JOB-0040,2026-08-07 18:00:00,Student_Portal,system_access_audit,Gold_Aggregation,csv,s3://data-lake-curated/system_access_audit/,152490,183.44,300.51,91.7,SUCCESS
JOB-0041,2026-08-07 00:00:00,Student_Portal,financial_transactions,Bronze_Ingestion,parquet,s3://data-lake-raw/financial_transactions/,192695,374.84,203.61,81.9,SUCCESS
JOB-0042,2026-08-08 07:00:00,LMS_Moodle,faculty_profiles,Gold_Aggregation,json,s3://data-lake-curated/faculty_profiles/,115985,123.04,36.7,97.3,SUCCESS
JOB-0043,2026-08-06 15:00:00,LMS_Moodle,faculty_profiles,Bronze_Ingestion,parquet,s3://data-lake-raw/faculty_profiles/,194073,357.27,172.67,74.9,SUCCESS
JOB-0044,2026-08-07 07:00:00,Dotblue_Logs,course_feedback,Bronze_Ingestion,json,s3://data-lake-raw/course_feedback/,35007,22.71,171.94,82.4,WARNING
JOB-0045,2026-08-07 17:00:00,ERP_Database,system_access_audit,Gold_Aggregation,avro,s3://data-lake-curated/system_access_audit/,230347,454.21,196.27,88.0,SUCCESS
JOB-0046,2026-08-07 18:00:00,Research_Repository,financial_transactions,Silver_Cleaning,csv,s3://data-lake-cleaned/financial_transactions/,42119,45.13,16.39,98.2,SUCCESS
JOB-0047,2026-08-08 17:00:00,Student_Portal,course_feedback,Gold_Aggregation,csv,s3://data-lake-curated/course_feedback/,187910,120.75,215.98,91.1,SUCCESS
JOB-0048,2026-08-08 20:00:00,Dotblue_Logs,student_enrollments,Bronze_Ingestion,parquet,s3://data-lake-raw/student_enrollments/,70082,139.35,309.31,94.3,SUCCESS
JOB-0049,2026-08-07 06:00:00,ERP_Database,faculty_profiles,Gold_Aggregation,avro,s3://data-lake-curated/faculty_profiles/,183850,350.31,173.0,92.3,WARNING
JOB-0050,2026-08-07 20:00:00,HR_System,research_publications,Gold_Aggregation,csv,s3://data-lake-curated/research_publications/,36318,19.82,287.06,86.5,WARNING
JOB-0051,2026-08-07 11:00:00,LMS_Moodle,dotblue_prompt_logs,Bronze_Ingestion,json,s3://data-lake-raw/dotblue_prompt_logs/,80373,126.02,232.63,95.0,SUCCESS
JOB-0052,2026-08-08 02:00:00,Dotblue_Logs,system_access_audit,Gold_Aggregation,parquet,s3://data-lake-curated/system_access_audit/,208657,373.13,229.28,94.7,SUCCESS
JOB-0053,2026-08-09 09:00:00,Research_Repository,student_enrollments,Gold_Aggregation,json,s3://data-lake-curated/student_enrollments/,106255,124.03,201.55,89.9,SUCCESS
JOB-0054,2026-08-08 12:00:00,ERP_Database,faculty_profiles,Gold_Aggregation,parquet,s3://data-lake-curated/faculty_profiles/,85653,151.07,247.15,86.0,SUCCESS
JOB-0055,2026-08-09 14:00:00,Student_Portal,student_enrollments,Bronze_Ingestion,avro,s3://data-lake-raw/student_enrollments/,152389,97.89,77.78,70.0,SUCCESS
JOB-0056,2026-08-08 22:00:00,Research_Repository,system_access_audit,Gold_Aggregation,csv,s3://data-lake-curated/system_access_audit/,156750,179.1,145.07,99.3,SUCCESS
JOB-0057,2026-08-10 03:00:00,Student_Portal,research_publications,Gold_Aggregation,avro,s3://data-lake-curated/research_publications/,167094,278.75,269.2,98.7,SUCCESS
JOB-0058,2026-08-08 10:00:00,HR_System,research_publications,Silver_Cleaning,csv,s3://data-lake-cleaned/research_publications/,44237,80.73,23.97,94.8,SUCCESS
JOB-0059,2026-08-09 03:00:00,Research_Repository,student_enrollments,Silver_Cleaning,avro,s3://data-lake-cleaned/student_enrollments/,180466,90.5,112.63,98.4,WARNING
JOB-0060,2026-08-08 19:00:00,Research_Repository,course_feedback,Silver_Cleaning,csv,s3://data-lake-cleaned/course_feedback/,176157,105.14,195.77,96.4,SUCCESS
